medicine_id,name,generic_name,mdc,category,indications,pres_restrictions,dosage,standard_price,tax_rate
MED-F1BD0EC9,Amoxicillin 500mg,Amoxicillin,MAL199713278X,Antibiotic,"Bacterial infections of the respiratory tract, urinary tract, skin and soft tissue",Prescription Only,500 mg orally three times daily for 7–10 days,8.5,0.06
MED-80150E17,Azithromycin 250mg,Azithromycin,MAL200539256T,Antibiotic,"Community-acquired pneumonia, pharyngitis, tonsillitis, skin infections",Prescription Only,"500 mg on Day 1, then 250 mg once daily on Days 2–5",18.0,0.06
MED-59EB08A3,Ciprofloxacin 500mg,Ciprofloxacin,MAL199698696A,Antibiotic,"Urinary tract infections, lower respiratory tract infections, enteric fever",Prescription Only,500 mg orally twice daily for 7–14 days,12.0,0.06
MED-94DCD221,Metronidazole 200mg,Metronidazole,MAL201714165A,Antibiotic,"Anaerobic bacterial infections, amoebiasis, giardiasis, Helicobacter pylori eradication",Prescription Only,200–400 mg orally three times daily for 7 days,6.0,0.06
MED-1711A01F,Paracetamol 500mg,Paracetamol (Acetaminophen),MAL199538657T,Analgesic,Mild to moderate pain relief; fever reduction,Over-the-Counter (OTC),500–1000 mg every 4–6 hours; max 4 g per day,2.5,0.0
MED-D0A5410E,Ibuprofen 400mg,Ibuprofen,MAL202288907A,Analgesic / NSAID,"Pain, inflammation, fever; arthritis, dysmenorrhoea",Over-the-Counter (OTC),400 mg orally every 6–8 hours with food; max 1200 mg/day (OTC),4.0,0.0
MED-FB58034C,Tramadol 50mg,Tramadol Hydrochloride,MAL200295181Z,Opioid Analgesic,Moderate to moderately severe acute and chronic pain,Controlled Drug — Schedule C (CD),50–100 mg orally every 4–6 hours; max 400 mg/day,22.0,0.06
MED-B036DD9C,Oseltamivir 75mg,Oseltamivir Phosphate,MAL200468878X,Antiviral,Treatment and prophylaxis of influenza A and B,Prescription Only,75 mg twice daily for 5 days (treatment); 75 mg once daily for 10 days (prophylaxis),95.0,0.08
MED-0A195B42,Acyclovir 200mg,Acyclovir (Aciclovir),MAL199030926Z,Antiviral,"Herpes simplex infections, herpes zoster (shingles), varicella (chickenpox)",Prescription Only,200 mg five times daily for 5 days; adjust for renal impairment,14.0,0.06
MED-C029044A,Amlodipine 5mg,Amlodipine Besilate,MAL201146421T,Cardiovascular / CCB,"Hypertension, stable and vasospastic angina pectoris",Prescription Only,5 mg once daily; may be increased to 10 mg once daily,9.0,0.06
MED-B85A6ED2,Metformin 500mg,Metformin Hydrochloride,MAL200354118A,Antidiabetic / Biguanide,Type 2 diabetes mellitus; polycystic ovary syndrome (off-label),Prescription Only,500 mg twice or three times daily with meals; max 2550 mg/day,5.5,0.06
MED-99B74A7E,Atorvastatin 20mg,Atorvastatin Calcium,MAL199559797A,Cholesterol / Statin,"Hypercholesterolaemia, mixed dyslipidaemia, cardiovascular risk reduction",Prescription Only,10–80 mg once daily at any time of day,25.0,0.06
MED-87F56986,Omeprazole 20mg,Omeprazole,MAL201255082X,Gastrointestinal / PPI,"Peptic ulcer disease, GERD, H. pylori eradication (with antibiotics), Zollinger-Ellison syndrome",Prescription Only,20–40 mg once daily before a meal; 4–8 week course,8.0,0.06
MED-B71DF9FF,Loratadine 10mg,Loratadine,MAL199270217A,Antihistamine,"Allergic rhinitis, urticaria, hay fever",Over-the-Counter (OTC),10 mg once daily,6.5,0.0
MED-A601320E,Salbutamol 100mcg Inhaler,Salbutamol Sulphate,MAL201420328X,Respiratory / SABA,"Acute bronchospasm, asthma, COPD — short-acting bronchodilator (reliever)",Prescription Only,100–200 mcg (1–2 puffs) as needed; max 8 puffs/day,18.5,0.06
MED-48A0F963,Prednisolone 5mg,Prednisolone,MAL201385674T,Corticosteroid,"Inflammatory and allergic conditions, asthma, autoimmune diseases, transplant rejection prevention",Prescription Only,Initial: 5–60 mg/day; taper dose on long-term use,12.0,0.06
MED-9EB4B8D6,Vitamin C 1000mg,Ascorbic Acid,MAL199416006T,Supplement / Vitamin,Prevention and treatment of Vitamin C deficiency; antioxidant supplementation,Over-the-Counter (OTC),1000 mg once daily,7.0,0.0
MED-A2FD86E4,Vitamin D3 5000IU,Cholecalciferol,MAL200820458T,Supplement / Vitamin,"Vitamin D deficiency, osteoporosis prophylaxis, rickets",Over-the-Counter (OTC),5000 IU once daily; higher doses under medical supervision,22.0,0.0
MED-BFB0E7CA,Omega-3 1000mg,Omega-3 Fatty Acids (EPA/DHA),MAL199659823X,Supplement / Nutraceutical,"Hypertriglyceridaemia, cardiovascular protection, anti-inflammatory supplementation",Over-the-Counter (OTC),1000 mg once to three times daily with meals,30.0,0.0
MED-28EB3902,Sildenafil 50mg,Sildenafil Citrate,MAL201993320X,PDE-5 Inhibitor,Erectile dysfunction; pulmonary arterial hypertension (higher doses),Prescription Only,50 mg approximately 1 hour before sexual activity; range 25–100 mg,55.0,0.08
